Altium Designer Pick and Place Locations
C:\Users\Stason\Desktop\Projects\pure-sinus\hardware\invertor_12V_220V_500W\.\Fabrication Files\Pick Place\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       24.12.25
Time:       11:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                       
R37        "100 Ohms"         BottomLayer RES_0805_2012               44.0000      51.0000      0        "RES SMD 100 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                    
R36        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         45.2000      71.5000      180      "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R35        "1 kOhms"          BottomLayer RES_0805_2012               35.6250      45.7500      180      "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                     
R34        "4.7 kOhms"        BottomLayer RES_0805_2012               42.7500      47.5000      270      "RES SMD 4.7K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                   
R33        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         45.2000      74.0000      180      "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R32        "120 Ohms"         BottomLayer YAGEO_RES_0805_2012         31.2500      33.7500      270      "RES SMD 120 OHM 0.5% 1/8W 0805"                                                                                                                                                                                                                                  
R31        "7.5 kOhms"        TopLayer    RES_0805_2012               26.3225      36.5000      90       "RES SMD 7.5K OHM 0.1% 1/8W 0805"                                                                                                                                                                                                                                 
R30        "30 kOhms"         TopLayer    RES_0805_2012               24.2490      36.5000      270      "RES SMD 30K OHM 0.1% 1/8W 0805"                                                                                                                                                                                                                                  
R29        "10 kOhms"         BottomLayer RES_0805_2012               23.2224      67.8400      0        "RES SMD 10K OHM 0.5% 1/8W 0805"                                                                                                                                                                                                                                  
R28        "4.7 kOhms"        BottomLayer RES_0805_2012               88.4306      3.4496       0        "RES SMD 4.7K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                   
R27        "100 Ohms"         BottomLayer RES_0805_2012               92.1863      3.4496       180      "RES SMD 100 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                    
R26        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         196.7500     19.7000      270      "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R25        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         188.5000     19.7500      270      "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R24        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         180.5000     19.7500      270      "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R22        "10 kOhms"         BottomLayer RES_0805_2012               22.5000      111.0821     90       "RES SMD 10K OHM 0.5% 1/8W 0805"                                                                                                                                                                                                                                  
R23        "1 kOhms"          BottomLayer RES_0805_2012               104.7500     7.7500       270      "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                     
R21        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         196.7500     14.0000      90       "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R20        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         188.5000     14.0000      90       "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R19        "10 kOhms"         BottomLayer YAGEO_RES_0805_2012         180.5000     14.0000      90       "RES SMD 10K OHM 0.25% 1/8W 0805"                                                                                                                                                                                                                                 
R18        "4.7 kOhms"        BottomLayer RES_0805_2012               25.4600      89.1250      0        "RES SMD 4.7K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                   
R17        "100 Ohms"         BottomLayer RES_0805_2012               26.2874      86.0000      90       "RES SMD 100 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                    
R16        "1 kOhms"          BottomLayer RES_0805_2012               28.0024      70.3800      180      "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                     
R15        "5.6 kOhms"        TopLayer    MY_(0.25w)_0207_10          126.2804     97.3500      180      "Standard resistor"                                                                                                                                                                                                                                               
R14        "5.6 kOhms"        TopLayer    MY_(0.25w)_0207_10          141.2804     97.3500      180      "Standard resistor"                                                                                                                                                                                                                                               
R13        "22 Ohms"          TopLayer    MY_(0.25w)_0207_10          126.2804     100.1000     0        "Standard resistor"                                                                                                                                                                                                                                               
R12        "22 Ohms"          TopLayer    MY_(0.25w)_0207_10          141.2804     100.1000     0        "Standard resistor"                                                                                                                                                                                                                                               
R11        "5.6 kOhms"        TopLayer    MY_(0.25w)_0207_10          156.0304     97.3500      180      "Standard resistor"                                                                                                                                                                                                                                               
R10        "5.6 kOhms"        TopLayer    MY_(0.25w)_0207_10          171.0304     97.3500      180      "Standard resistor"                                                                                                                                                                                                                                               
R9         "22 Ohms"          TopLayer    MY_(0.25w)_0207_10          156.0304     100.1000     0        "Standard resistor"                                                                                                                                                                                                                                               
R8         "22 Ohms"          TopLayer    MY_(0.25w)_0207_10          171.0304     100.1000     0        "Standard resistor"                                                                                                                                                                                                                                               
R7         "10 kOhms"         TopLayer    MY_(0.25w)_0207_10          159.5000     19.1000      180      "Standard resistor"                                                                                                                                                                                                                                               
R6         "200 kOhms"        TopLayer    MY_(2w)_0617_22             156.7500     27.7500      0        2W                                                                                                                                                                                                                                                                
R5         "10 kOhms"         TopLayer    MY_(0.25w)_0207_10          128.2500     34.5000      90       "Standard resistor"                                                                                                                                                                                                                                               
R4         "4.7 Ohms"         TopLayer    MY_(0.5w)_0411_15           95.2500      24.7500      0        "Standard resistor"                                                                                                                                                                                                                                               
R3         "3.3 kOhms"        TopLayer    MY_(0.25w)_0207_10          124.0000     34.5000      90       "Standard resistor"                                                                                                                                                                                                                                               
R1         "2.2 kOhms"        TopLayer    MY_(0.25w)_0207_10          191.7500     99.5000      0        "Standard resistor"                                                                                                                                                                                                                                               
R2         "200 kOhms"        TopLayer    MY_(2w)_0617_22             119.0000     38.7188      270      2W                                                                                                                                                                                                                                                                
Q16        DMG3406L-7         BottomLayer DIODES_SOT-23-3             42.5250      55.2500      90       "MOSFET N-CH 30V 3.6A SOT23"                                                                                                                                                                                                                                      
Q15        AOD4184A           BottomLayer DPAK228P994X240-4N          79.2500      10.4250      180      "N-Channel 40 V 13A (Ta), 50A (Tc) 2.3W (Ta), 50W (Tc) Surface Mount TO-252 (DPAK)"                                                                                                                                                                               
Q14        AOD4184A           BottomLayer DPAK228P994X240-4N          86.7500      10.4250      180      "N-Channel 40 V 13A (Ta), 50A (Tc) 2.3W (Ta), 50W (Tc) Surface Mount TO-252 (DPAK)"                                                                                                                                                                               
Q13        MMSS8050-L-TP      BottomLayer MCCSEMI_SOT-23-3            18.5000      111.0000     180      "TRANS NPN 25V 1.5A SOT23"                                                                                                                                                                                                                                        
Q12        AOD4184A           BottomLayer DPAK228P994X240-4N          71.7500      10.4250      180      "N-Channel 40 V 13A (Ta), 50A (Tc) 2.3W (Ta), 50W (Tc) Surface Mount TO-252 (DPAK)"                                                                                                                                                                               
Q11        AOD4184A           BottomLayer DPAK228P994X240-4N          64.2500      10.4250      180      "N-Channel 40 V 13A (Ta), 50A (Tc) 2.3W (Ta), 50W (Tc) Surface Mount TO-252 (DPAK)"                                                                                                                                                                               
Q10        AOD4184A           BottomLayer DPAK228P994X240-4N          9.1000       85.7500      270      "N-Channel 40 V 13A (Ta), 50A (Tc) 2.3W (Ta), 50W (Tc) Surface Mount TO-252 (DPAK)"                                                                                                                                                                               
Q9         AOD4184A           BottomLayer DPAK228P994X240-4N          9.1000       92.7500      270      "N-Channel 40 V 13A (Ta), 50A (Tc) 2.3W (Ta), 50W (Tc) Surface Mount TO-252 (DPAK)"                                                                                                                                                                               
Q8         IRF840PBF          TopLayer    VISH-TO-220AB-3             124.0000     105.5000     90       "Power MOSFET, 500 V, -55 to 150 degC, 3-Pin FM, RoHS, Tape and Reel"                                                                                                                                                                                             
Q7         IRF840PBF          TopLayer    VISH-TO-220AB-3             139.0000     105.5000     90       "Power MOSFET, 500 V, -55 to 150 degC, 3-Pin FM, RoHS, Tape and Reel"                                                                                                                                                                                             
Q6         IRF840PBF          TopLayer    VISH-TO-220AB-3             154.0000     105.5000     90       "Power MOSFET, 500 V, -55 to 150 degC, 3-Pin FM, RoHS, Tape and Reel"                                                                                                                                                                                             
Q5         IRF840PBF          TopLayer    VISH-TO-220AB-3             169.0000     105.5000     90       "Power MOSFET, 500 V, -55 to 150 degC, 3-Pin FM, RoHS, Tape and Reel"                                                                                                                                                                                             
U3         LM7805CT           TopLayer    TO254P1054X470X2600-3       80.0300      105.5000     0        "Linear Voltage Regulator IC Positive Fixed 1 Output 1.5A TO-220-3"                                                                                                                                                                                               
Q4         IRF3205PBF         TopLayer    INF-PG-TO-220AB             110.0000     19.0000      270      "HEXFET(R) Power N-Channel MOSFET, 55 V, 110 A, -55 to 117 degC, 3-Pin TO-220AB, RoHS, Rail/Tube"                                                                                                                                                                 
Q3         IRF3205PBF         TopLayer    INF-PG-TO-220AB             95.0000      19.0000      270      "HEXFET(R) Power N-Channel MOSFET, 55 V, 110 A, -55 to 117 degC, 3-Pin TO-220AB, RoHS, Rail/Tube"                                                                                                                                                                 
Q2         IRF3205PBF         TopLayer    INF-PG-TO-220AB             80.0000      19.0000      270      "HEXFET(R) Power N-Channel MOSFET, 55 V, 110 A, -55 to 117 degC, 3-Pin TO-220AB, RoHS, Rail/Tube"                                                                                                                                                                 
Q1         IRF3205PBF         TopLayer    INF-PG-TO-220AB             65.0000      19.0000      270      "HEXFET(R) Power N-Channel MOSFET, 55 V, 110 A, -55 to 117 degC, 3-Pin TO-220AB, RoHS, Rail/Tube"                                                                                                                                                                 
P1         "Debug EN"         TopLayer    My_1X02                     26.0200      103.6250     0        "Header, 2-Pin"                                                                                                                                                                                                                                                   
M2         EGS002             TopLayer    EGS002                      137.7500     47.6600      180      "EGS002 is a driver board specific for single phase sinusoid inverter. It uses ASIC EG8010 as control chip and IR2110S as driver chip."                                                                                                                           
LED1       ""                 TopLayer    LED3MM                      186.5000     106.2500     90       "LED; PCB ; Green; 0.63mcd; 3mm; T-1; 7mA; 1.9V; 565nm; 25deg; GaP on GaP; 20V; 20mW; -40"                                                                                                                                                                        
L2         2mH                TopLayer    184125                      171.5000     73.0000      0        "THT Leaded Toroidal Line Choke, 2mH, 20A"                                                                                                                                                                                                                        
L1         2mH                TopLayer    WE-CMBNC_XS_7448010911      176.3500     44.2500      270      "Common Mode Choke WE-CMBNC 11mH 0.9A R43 | Wurth Electronics 7448010911"                                                                                                                                                                                         
J13        LCD                TopLayer    JST_B4B-XH-AM_(LF)(SN)      42.2750      75.2500      90       "Connector Header Through Hole 4 position 0.098 (2.50mm)"                                                                                                                                                                                                         
J12        Fan                TopLayer    JST_B2B-XH-A(LF)(SN)        42.5250      61.5000      90       "Connector Header Through Hole 2 position 0.098 (2.50mm)"                                                                                                                                                                                                         
J11        "LCD On/Off"       TopLayer    JST_B2B-XH-A(LF)(SN)        195.5000     16.9250      0        "Connector Header Through Hole 2 position 0.098 (2.50mm)"                                                                                                                                                                                                         
J10        "DC Load On/Off"   TopLayer    JST_B2B-XH-A(LF)(SN)        187.2500     16.9750      0        "Connector Header Through Hole 2 position 0.098 (2.50mm)"                                                                                                                                                                                                         
J9         "Invertor On/Off"  TopLayer    JST_B2B-XH-A(LF)(SN)        179.2500     17.0000      0        "Connector Header Through Hole 2 position 0.098 (2.50mm)"                                                                                                                                                                                                         
J7         "Out 12V"          TopLayer    JST_B2B-XH-A(LF)(SN)        7.0625       31.6500      90       "Connector Header Through Hole 2 position 0.098 (2.50mm)"                                                                                                                                                                                                         
J6         "DC -"             TopLayer    Keystone_7767               6.5000       103.6000     0        "PCB Soldering Terminal Riveting Nut Welding Terminals 8*8*6.8MM M4 or M3"                                                                                                                                                                                        
J5         "BATT -"           TopLayer    Keystone_7767               6.5000       20.1000      0        "PCB Soldering Terminal Riveting Nut Welding Terminals 8*8*6.8MM M4 or M3"                                                                                                                                                                                        
J4         "DC +"             TopLayer    Keystone_7767               6.5000       74.6000      0        "PCB Soldering Terminal Riveting Nut Welding Terminals 8*8*6.8MM M4 or M3"                                                                                                                                                                                        
J3         "BATT +"           TopLayer    Keystone_7767               6.5000       43.6000      0        "PCB Soldering Terminal Riveting Nut Welding Terminals 8*8*6.8MM M4 or M3"                                                                                                                                                                                        
J2         "220 VAC"          TopLayer    JST_B3P-VH(LF)(SN)          194.7500     44.5000      90       "Connector Header Through Hole 3 position 0.156 (3.96mm)"                                                                                                                                                                                                         
J1         18V                TopLayer    VALCON_VH396-02S-010        194.3500     106.2500     90       "VH396 - Valcon 3.96mm 5A Wire-to-Board Straight Locking Power Connector"                                                                                                                                                                                         
HS2        HSINK-150-20-16MM  TopLayer    HSINK-150-20-16MM           100.0000     8.5000       180      "Aluminum Heatsink 150x19.7x15.6mm"                                                                                                                                                                                                                               
HS1        HSINK-150-20-16MM  TopLayer    HSINK-150-20-16MM           100.0110     116.3000     0        "Aluminum Heatsink 150x19.7x15.6mm"                                                                                                                                                                                                                               
F2         25A                TopLayer    Mini_Car_Blade_Fuse         20.0000      42.3500      180      "Mini Car Blade Fuses Zinc Auto Fuse"                                                                                                                                                                                                                             
F1         25A                TopLayer    Mini_Car_Blade_Fuse         15.0000      42.3500      180      "Mini Car Blade Fuses Zinc Auto Fuse"                                                                                                                                                                                                                             
D22        LL4148             BottomLayer DIO_LL4148                  35.6750      53.7500      180      "Diode Standard 100 V 300mA Surface Mount SOD-80 MiniMELF"                                                                                                                                                                                                        
D21        LTV-817S-TA        BottomLayer LITEON_LTV-817              35.6250      49.7050      0        "OPTOISOLATR 5KV TRANSISTOR 4-SMD"                                                                                                                                                                                                                                
D20        MMSZ5231CT1G       TopLayer    SOD-123                     26.3225      41.1375      270      "DIODE ZENER 5.1V 500MW SOD123"                                                                                                                                                                                                                                   
D19        LL4148             BottomLayer DIO_LL4148                  97.2793      3.5000       0        "Diode Standard 100 V 300mA Surface Mount SOD-80 MiniMELF"                                                                                                                                                                                                        
D18        LTV-817S-TA        BottomLayer LITEON_LTV-817              97.2250      7.3500       180      "OPTOISOLATR 5KV TRANSISTOR 4-SMD"                                                                                                                                                                                                                                
D17        LL4148             BottomLayer DIO_LL4148                  15.0000      110.5500     90       "Diode Standard 100 V 300mA Surface Mount SOD-80 MiniMELF"                                                                                                                                                                                                        
D16        SS23-TP            BottomLayer DO214AC_SMA                 33.3225      104.2500     270      "DIODE SCHOTTKY 30V 2A DO214AC"                                                                                                                                                                                                                                   
D15        LL4148             BottomLayer DIO_LL4148                  28.8274      86.8750      90       "Diode Standard 100 V 300mA Surface Mount SOD-80 MiniMELF"                                                                                                                                                                                                        
D14        LTV-817S-TA        BottomLayer LITEON_LTV-817              27.5574      78.1700      90       "OPTOISOLATR 5KV TRANSISTOR 4-SMD"                                                                                                                                                                                                                                
D13        1N4148             TopLayer    My_DO41                     126.2804     94.3516      180      "1 Amp Diode"                                                                                                                                                                                                                                                     
D12        1N4148             TopLayer    My_DO41                     141.2804     94.3516      180      "1 Amp Diode"                                                                                                                                                                                                                                                     
D11        1N4148             TopLayer    My_DO41                     156.0304     94.3516      180      "1 Amp Diode"                                                                                                                                                                                                                                                     
D10        1N4148             TopLayer    My_DO41                     171.0304     94.3516      180      "1 Amp Diode"                                                                                                                                                                                                                                                     
D9         MUR460             TopLayer    My_DO201-15                 97.0000      76.9873      180      "3 Amp Diode"                                                                                                                                                                                                                                                     
D8         MUR460             TopLayer    My_DO201-15                 97.0000      83.0127      0        "3 Amp Diode"                                                                                                                                                                                                                                                     
D7         MUR460             TopLayer    My_DO201-15                 97.0000      88.9873      180      "3 Amp Diode"                                                                                                                                                                                                                                                     
D6         MUR460             TopLayer    My_DO201-15                 97.0000      95.0127      0        "3 Amp Diode"                                                                                                                                                                                                                                                     
D1         BZX55B20_R0G       TopLayer    DIOAD928W47L399D179         110.7290     33.7500      270      ""                                                                                                                                                                                                                                                                
C40        "1000 pF"          BottomLayer CAP_0805_2012               10.7500      65.7500      180      "CAP CER 1000PF 500V X7R 0805"                                                                                                                                                                                                                                    
C39        10µF               BottomLayer CAP_0805_2012               40.8700      37.4221      270      "CAP CER 10UF 16V X5R 0805"                                                                                                                                                                                                                                       
C38        "100 pF"           BottomLayer CAP_0805_2012               29.2500      33.7500      90       "CAP CER 100PF 100V C0G/NPO 0805"                                                                                                                                                                                                                                 
C37        0.1µF              BottomLayer CAP_0805_2012               38.8700      37.4220      90       "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C36        10µF               BottomLayer CAP_0805_2012               13.7500      59.2500      270      "CAP CER 10UF 16V X5R 0805"                                                                                                                                                                                                                                       
C35        0.1µF              BottomLayer CAP_0805_2012               10.5400      58.2000      180      "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C34        0.1µF              BottomLayer CAP_0805_2012               40.8806      33.7500      90       "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C33        10µF               BottomLayer CAP_0805_2012               38.8806      33.7500      270      "CAP CER 10UF 16V X5R 0805"                                                                                                                                                                                                                                       
C32        0.1µF              TopLayer    CAP_0805_2012               24.2492      40.8250      270      "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C31        10µF               BottomLayer CAP_0805_2012               178.0500     27.7000      90       "CAP CER 10UF 16V X5R 0805"                                                                                                                                                                                                                                       
C30        0.1µF              BottomLayer CAP_0805_2012               194.2500     19.7000      90       "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C29        0.1µF              BottomLayer CAP_0805_2012               186.0000     19.7500      90       "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C28        0.1µF              BottomLayer CAP_0805_2012               178.0000     19.7500      90       "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C27        0.1µF              BottomLayer CAP_0805_2012               33.2500      89.1050      270      "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C26        0.1µF              BottomLayer CAP_0805_2012               33.2500      95.0360      90       "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C25        220uF              TopLayer    MY_E3.5-8mm                 42.3000      86.7000      90       "Polar capacitor"                                                                                                                                                                                                                                                 
C24        220uF              TopLayer    MY_E3.5-8mm                 42.3000      95.3000      90       "Polar capacitor"                                                                                                                                                                                                                                                 
C23        0.1µF              BottomLayer CAP_0805_2012               122.7500     14.7500      180      "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C22        0.1µF              BottomLayer CAP_0805_2012               104.7500     110.2500     0        "CAP CER 0.1UF 50V Y5V 0805"                                                                                                                                                                                                                                      
C21        2200uF             TopLayer    MY_E5-13mm                  19.5000      26.7500      270      "Polar capacitor"                                                                                                                                                                                                                                                 
C18        "2.2uF 630V"       TopLayer    CAPRR2250W80L2530T1240H1770 153.0000     45.0000      90       ""                                                                                                                                                                                                                                                                
C14        100nF              TopLayer    My_cap100n                  159.5000     22.2500      180      "None polar capacitor"                                                                                                                                                                                                                                            
C13        100nF              TopLayer    MY_E8.4-15mm                184.7500     44.5000      90       "None polar capacitor"                                                                                                                                                                                                                                            
C11        100uF              TopLayer    MY_E7.5-18mm                121.0000     61.7500      270      "Polar capacitor"                                                                                                                                                                                                                                                 
C10        100uF              TopLayer    MY_E7.5-18mm                121.0000     80.7500      90       "Polar capacitor"                                                                                                                                                                                                                                                 
C9         100nF              TopLayer    My_cap100n                  81.2500      100.7500     0        "None polar capacitor"                                                                                                                                                                                                                                            
C8         470uF              TopLayer    MY_E3.5-8mm                 91.2000      104.0000     180      "Polar capacitor"                                                                                                                                                                                                                                                 
C7         100nF              TopLayer    My_cap100n                  54.7300      100.7000     180      "None polar capacitor"                                                                                                                                                                                                                                            
C6         1000uF             TopLayer    MY_E5-13mm                  54.7500      91.2500      270      "Polar capacitor"                                                                                                                                                                                                                                                 
C5         100nF              TopLayer    My_cap100n                  60.8000      100.7000     0        "None polar capacitor"                                                                                                                                                                                                                                            
C4         470uF              TopLayer    MY_E3.5-8mm                 68.5280      104.0000     0        "Polar capacitor"                                                                                                                                                                                                                                                 
C3         "10nF 1kV"         TopLayer    CAP_RDER73A103K2K1H03B      81.7929      24.7500      0        "Lead Capacitor X7R_EIA_ with Capacitance: 10000pF and Rated Voltage: 1000Vdc"                                                                                                                                                                                    
C1         100nF              TopLayer    My_cap100n                  124.7500     27.0000      180      "None polar capacitor"                                                                                                                                                                                                                                            
C2         100nF              TopLayer    My_cap100n                  114.0000     33.7500      90       "None polar capacitor"                                                                                                                                                                                                                                            
